458  2021-03-26 | 19:35:21.499 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - Starting SpringBootLogbackDemoApplication using Java 14.0.2 on Raghs-LegionY540-TPIN with PID 6540 (C:\Users\Raghavan Muthu\OneDrive\Documents\prfsnl\spring-boot-logback-demo\target\classes started by raghs in C:\Users\Raghavan Muthu\OneDrive\Documents\prfsnl\spring-boot-logback-demo)
460  2021-03-26 | 19:35:21.501 | [main] DEBUG c.e.d.l.SpringBootLogbackDemoApplication - Running with Spring Boot v2.4.4, Spring v5.3.5
460  2021-03-26 | 19:35:21.501 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - No active profile set, falling back to default profiles: default
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - Started SpringBootLogbackDemoApplication in 0.704 seconds (JVM running for 1.196)
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - ==========================================
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication -  System Properties configured for log*    
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - ==========================================
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - System Property - LOG_PATH=data/logs/JavaConfig/
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - System Property - FILE_LOG_CHARSET=UTF-8
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - System Property - LOG_FILE=app-log-XML-config-26Mar2021.log
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - System Property - CONSOLE_LOG_CHARSET=UTF-8
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - =========================================
839  2021-03-26 | 19:35:21.880 | [main] DEBUG c.e.d.l.SpringBootLogbackDemoApplication - doStuff needed to debug - Value
839  2021-03-26 | 19:35:21.880 | [main] INFO  c.e.d.l.SpringBootLogbackDemoApplication - doStuff took input - Value
839  2021-03-26 | 19:35:21.880 | [main] WARN  c.e.d.l.SpringBootLogbackDemoApplication - doStuff needed to warn - Value
839  2021-03-26 | 19:35:21.880 | [main] ERROR c.e.d.l.SpringBootLogbackDemoApplication - doStuff encountered an error with value - Value
